
> pennant-sim@0.1.0 baseline:new
> tsx scripts/balance-new-engine.ts

Season 1/100: AVG 0.247, ERA 3.10, HR 1149
Season 2/100: AVG 0.228, ERA 2.50, HR 955
Season 3/100: AVG 0.230, ERA 2.53, HR 942
Season 4/100: AVG 0.232, ERA 2.74, HR 1068
Season 5/100: AVG 0.236, ERA 2.66, HR 1003
Season 6/100: AVG 0.224, ERA 2.41, HR 905
Season 7/100: AVG 0.248, ERA 3.11, HR 1190
Season 8/100: AVG 0.249, ERA 3.13, HR 1167
Season 9/100: AVG 0.244, ERA 2.93, HR 1066
Season 10/100: AVG 0.244, ERA 3.03, HR 1174
Season 11/100: AVG 0.227, ERA 2.38, HR 974
Season 12/100: AVG 0.243, ERA 2.88, HR 1129
Season 13/100: AVG 0.245, ERA 2.93, HR 1125
Season 14/100: AVG 0.227, ERA 2.47, HR 943
Season 15/100: AVG 0.252, ERA 3.19, HR 1205
Season 16/100: AVG 0.238, ERA 2.78, HR 1035
Season 17/100: AVG 0.234, ERA 2.73, HR 1032
Season 18/100: AVG 0.232, ERA 2.58, HR 1006
Season 19/100: AVG 0.226, ERA 2.37, HR 916
Season 20/100: AVG 0.240, ERA 2.77, HR 1051
Season 21/100: AVG 0.232, ERA 2.55, HR 984
Season 22/100: AVG 0.238, ERA 2.72, HR 1048
Season 23/100: AVG 0.232, ERA 2.62, HR 965
Season 24/100: AVG 0.228, ERA 2.52, HR 955
Season 25/100: AVG 0.241, ERA 2.82, HR 1032
Season 26/100: AVG 0.243, ERA 2.93, HR 1151
Season 27/100: AVG 0.225, ERA 2.41, HR 921
Season 28/100: AVG 0.225, ERA 2.51, HR 966
Season 29/100: AVG 0.248, ERA 3.06, HR 1169
Season 30/100: AVG 0.232, ERA 2.65, HR 1057
Season 31/100: AVG 0.245, ERA 2.95, HR 1124
Season 32/100: AVG 0.234, ERA 2.67, HR 959
Season 33/100: AVG 0.240, ERA 2.89, HR 1135
Season 34/100: AVG 0.241, ERA 2.92, HR 1057
Season 35/100: AVG 0.245, ERA 3.05, HR 1163
Season 36/100: AVG 0.238, ERA 2.71, HR 1036
Season 37/100: AVG 0.240, ERA 3.01, HR 1210
Season 38/100: AVG 0.233, ERA 2.63, HR 1043
Season 39/100: AVG 0.238, ERA 2.80, HR 1035
Season 40/100: AVG 0.234, ERA 2.63, HR 995
Season 41/100: AVG 0.237, ERA 2.82, HR 1152
Season 42/100: AVG 0.239, ERA 2.84, HR 1063
Season 43/100: AVG 0.236, ERA 2.70, HR 1069
Season 44/100: AVG 0.238, ERA 2.70, HR 1047
Season 45/100: AVG 0.227, ERA 2.46, HR 907
Season 46/100: AVG 0.229, ERA 2.39, HR 890
Season 47/100: AVG 0.229, ERA 2.53, HR 1043
Season 48/100: AVG 0.239, ERA 2.90, HR 1091
Season 49/100: AVG 0.230, ERA 2.44, HR 952
Season 50/100: AVG 0.232, ERA 2.52, HR 965
Season 51/100: AVG 0.233, ERA 2.67, HR 1056
Season 52/100: AVG 0.224, ERA 2.44, HR 1022
Season 53/100: AVG 0.236, ERA 2.66, HR 1113
Season 54/100: AVG 0.250, ERA 3.16, HR 1233
Season 55/100: AVG 0.249, ERA 3.18, HR 1272
Season 56/100: AVG 0.247, ERA 3.13, HR 1133
Season 57/100: AVG 0.239, ERA 2.78, HR 1118
Season 58/100: AVG 0.248, ERA 3.22, HR 1164
Season 59/100: AVG 0.234, ERA 2.70, HR 1063
Season 60/100: AVG 0.238, ERA 2.89, HR 1106
