
> pennant-sim@0.1.0 baseline:new
> tsx scripts/balance-new-engine.ts

Season 1/100: AVG 0.238, ERA 2.74, HR 1019
Season 2/100: AVG 0.247, ERA 3.05, HR 1102
Season 3/100: AVG 0.255, ERA 3.38, HR 1306
Season 4/100: AVG 0.242, ERA 2.87, HR 1090
Season 5/100: AVG 0.248, ERA 3.03, HR 1156
Season 6/100: AVG 0.245, ERA 2.96, HR 1089
Season 7/100: AVG 0.246, ERA 2.81, HR 988
Season 8/100: AVG 0.257, ERA 3.41, HR 1321
Season 9/100: AVG 0.244, ERA 2.83, HR 995
Season 10/100: AVG 0.252, ERA 3.19, HR 1182
Season 11/100: AVG 0.242, ERA 2.87, HR 1054
Season 12/100: AVG 0.246, ERA 2.94, HR 1149
Season 13/100: AVG 0.243, ERA 2.92, HR 1096
Season 14/100: AVG 0.247, ERA 3.01, HR 1093
Season 15/100: AVG 0.263, ERA 3.54, HR 1339
Season 16/100: AVG 0.242, ERA 2.87, HR 1106
Season 17/100: AVG 0.232, ERA 2.68, HR 965
Season 18/100: AVG 0.249, ERA 3.08, HR 1157
Season 19/100: AVG 0.238, ERA 2.73, HR 1049
Season 20/100: AVG 0.254, ERA 3.12, HR 1137
Season 21/100: AVG 0.237, ERA 2.73, HR 1061
Season 22/100: AVG 0.252, ERA 3.08, HR 1131
Season 23/100: AVG 0.254, ERA 3.16, HR 1087
Season 24/100: AVG 0.236, ERA 2.50, HR 955
Season 25/100: AVG 0.248, ERA 3.07, HR 1123
Season 26/100: AVG 0.246, ERA 3.01, HR 1205
Season 27/100: AVG 0.248, ERA 3.01, HR 1167
Season 28/100: AVG 0.252, ERA 3.16, HR 1144
Season 29/100: AVG 0.247, ERA 2.87, HR 971
Season 30/100: AVG 0.243, ERA 2.82, HR 1115
Season 31/100: AVG 0.263, ERA 3.57, HR 1309
Season 32/100: AVG 0.243, ERA 2.97, HR 1224
Season 33/100: AVG 0.236, ERA 2.65, HR 1007
Season 34/100: AVG 0.243, ERA 2.90, HR 1115
Season 35/100: AVG 0.240, ERA 2.73, HR 957
Season 36/100: AVG 0.242, ERA 2.84, HR 1105
Season 37/100: AVG 0.246, ERA 2.96, HR 1136
Season 38/100: AVG 0.249, ERA 3.09, HR 1158
Season 39/100: AVG 0.244, ERA 2.83, HR 1026
Season 40/100: AVG 0.239, ERA 2.79, HR 1044
Season 41/100: AVG 0.249, ERA 3.26, HR 1285
Season 42/100: AVG 0.238, ERA 2.53, HR 911
Season 43/100: AVG 0.242, ERA 2.88, HR 1161
Season 44/100: AVG 0.248, ERA 3.27, HR 1191
Season 45/100: AVG 0.243, ERA 2.91, HR 1080
Season 46/100: AVG 0.256, ERA 3.37, HR 1229
Season 47/100: AVG 0.249, ERA 3.20, HR 1167
Season 48/100: AVG 0.242, ERA 2.92, HR 1122
Season 49/100: AVG 0.246, ERA 2.98, HR 1161
Season 50/100: AVG 0.245, ERA 2.94, HR 1120
Season 51/100: AVG 0.244, ERA 3.02, HR 1219
Season 52/100: AVG 0.239, ERA 2.88, HR 1073
Season 53/100: AVG 0.252, ERA 3.17, HR 1275
Season 54/100: AVG 0.248, ERA 3.01, HR 1103
Season 55/100: AVG 0.244, ERA 2.91, HR 1099
Season 56/100: AVG 0.247, ERA 2.90, HR 1038
Season 57/100: AVG 0.240, ERA 2.73, HR 961
Season 58/100: AVG 0.250, ERA 3.11, HR 1193
Season 59/100: AVG 0.254, ERA 3.14, HR 1160
